1961,0,1,-3,1,3,0,-1,-1,1,1,-1,1
1962,0,1,-1,1,2,0,0,0,1,0,1,1
1963,-1,-1,-2,0,0,1,-1,0,0,-1,0,1
1964,0,1,-1,-1,0,-2,0,-1,0,-1,1,1
1965,-1,0,0,1,-1,0,2,0,0,1,-1,1
1966,1,0,1,1,1,1,0,0,-2,0,0,0
1967,0,2,0,-1,2,0,1,1,1,0,0,0
1968,-1,1,-1,1,0,1,0,2,-3,1,-1,3
1969,1,1,-1,0,0,0,-1,3,-4,2,-2,1
1970,0,3,-2,0,2,1,-2,5,-5,2,0,2
1971,-1,2,1,-1,0,1,-1,5,-6,0,3,1
1972,-4,-4,-1,-1,2,-2,0,4,-4,2,8,-2
1973,-3,-3,-2,-1,2,1,2,2,-5,2,11,-4
1974,-4,1,1,-2,2,2,2,0,-4,3,6,-5
1975,-4,-1,-1,-3,1,2,2,-1,-4,5,6,0
1976,-3,-1,-1,-1,1,0,1,0,0,6,3,0
1977,-2,1,0,-2,-1,0,-2,1,0,6,0,2
1978,-1,0,-1,-1,0,-1,-1,2,3,2,0,-3
1979,-3,1,-1,-1,-1,0,3,4,4,1,-1,3
1980,0,4,3,3,5,6,8,7,8,5,6,7
1981,2,7,8,7,10,8,7,7,6,9,9,11
1982,8,12,12,9,11,12,11,11,12,13,16,15
1983,9,14,14,12,15,14,12,12,16,18,21,20
1984,16,21,18,18,16,18,16,18,19,18,22,20
1985,19,26,19,20,20,22,22,21,22,23,24,22
1986,22,30,24,23,25,25,25,27,27,27,28,25
1987,23,32,28,25,27,28,29,32,30,29,32,27
1988,25,34,33,31,34,35,36,39,38,33,35,27
1989,28,36,38,35,39,36,39,43,43,39,38,27
1990,42,36,27,21,34,40,45,41,36,49,41,48
1991,53,35,34,29,54,54,54,49,48,65,61,68
1992,55,66,63,60,67,76,88,71,67,70,76,84
1993,69,76,75,70,80,87,101,90,96,98,93,120
1994,124,104,103,97,100,101,107,101,100,97,90,121
1995,127,106,97,95,96,100,112,102,99,102,92,117
1996,131,113,105,111,121,123,137,125,107,125,115,143
1997,130,143,144,149,160,170,185,181,159,166,173,194
1998,183,200,202,205,207,226,240,225,204,215,210,239
1999,218,228,237,225,226,238,283,236,244,237,232,248
2000,228,217,230,221,220,221,224,226,227,234,208,237
2001,233,257,250,236,236,249,251,257,241,259,243,264
2002,262,287,299,279,304,307,310,323,289,291,279,294
2003,310,332,334,327,356,352,319,333,323,313,342,335
2004,345,357,337,358,332,347,362,326,312,316,327,317
2005,326,340,320,321,323,332,316,321,312,326,347,346
2006,328,319,345,333,356,361,346,329,309,342,357,369
2007,357,345,381,369,381,385,395,388,401,394,398,414
2008,362,398,414,403,396,435,446,458,463,466,504,468
2009,502,478,461,477,494,494,503,525,556,535,566,485
2010,504,453,433,439,458,478,476,500,475,509,519,482
2011,374,375,361,431,478,573,569,680,721,778,771,755
2012,827,850,931,941,952,943,942,981,1027,1025,,
