Seasonally Adjusted,,,,,,,,,,,,
Industry:,Total private,,,,,,,,,,,
Data Type:,"ALL EMPLOYEES, THOUSANDS",,,,,,,,,,,
Years:,1961 to 2012,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,45119,44969,45051,44997,45119,45289,45400,45535,45591,45716,45931,46035
1962,46040,46309,46375,46679,46668,46644,46720,46775,46888,46927,46910,46901
1963,46912,47000,47077,47316,47328,47356,47461,47542,47661,47805,47771,47863
1964,47925,48171,48287,48279,48419,48552,48735,48888,49117,48949,49338,49523
1965,49646,49826,49993,50207,50398,50562,50762,50957,51152,51340,51561,51822
1966,51987,52185,52499,52677,52890,53208,53327,53501,53582,53727,53816,53943
1967,54092,54074,54133,54032,54144,54216,54343,54552,54540,54583,55008,55165
1968,55011,55395,55454,55677,55747,55917,56108,56286,56420,56619,56878,57100
1969,57229,57474,57677,57827,58044,58277,58390,58632,58539,58689,58640,58763
1970,58680,58784,58850,58643,58454,58361,58358,58221,58208,57726,57579,57945
1971,57988,57928,57951,58092,58277,58245,58305,58327,58552,58527,58696,58918
1972,59179,59354,59616,59805,60051,60355,60227,60607,60693,61066,61322,61586
1973,61930,62306,62541,62679,62829,63014,63046,63262,63389,63628,63874,63965
1974,64014,64118,64143,64193,64326,64363,64346,64291,64192,64143,63727,63098
1975,62673,62172,61895,61668,61796,61735,61907,62284,62408,62635,62776,63071
1976,63537,63836,64062,64308,64340,64413,64553,64697,64921,64877,65164,65373
1977,65636,65931,66341,66655,66957,67281,67537,67746,68129,68331,68658,68870
1978,68984,69277,69730,70366,70675,71099,71304,71590,71799,72096,72497,72763
1979,72874,73107,73524,73441,73800,74063,74064,74067,74195,74344,74401,74489
1980,74599,74653,74695,74263,73961,73654,73414,73682,73875,74099,74350,74563
1981,74671,74752,74910,75016,75088,75323,75419,75448,75440,75302,75084,74811
1982,74516,74540,74398,74131,74093,73837,73620,73422,73248,72938,72793,72775
1983,72958,72899,73071,73362,73624,73987,74414,74101,75189,75516,75857,76202
1984,76647,77111,77381,77699,77979,78334,78601,78790,79070,79337,79649,79805
1985,80017,80128,80428,80588,80818,80939,81006,81200,81385,81556,81745,81893
1986,81995,82058,82155,82333,82433,82351,82669,82761,82997,83125,83275,83463
1987,83610,83851,84072,84365,84589,84748,85058,85216,85482,85840,86041,86287
1988,86363,86791,87009,87249,87447,87776,88020,88091,88341,88573,88836,89135
1989,89359,89579,89761,89916,89998,90079,90125,90088,90299,90404,90657,90734
1990,90996,91219,91316,91273,91201,91261,91217,91112,91047,90882,90729,90652
1991,90524,90214,90047,89838,89698,89723,89638,89686,89742,89704,89612,89621
1992,89624,89557,89583,89716,89828,89879,89894,89969,90058,90237,90363,90538
1993,90825,91066,91010,91287,91539,91695,91899,92091,92317,92594,92829,93095
1994,93327,93525,93947,94267,94559,94862,95199,95492,95816,96017,96416,96667
1995,96980,97180,97383,97536,97536,97741,97828,98108,98351,98463,98613,98742
1996,98737,99136,99353,99530,99839,100119,100332,100572,100728,100984,101269,101431
1997,101640,101934,102237,102532,102790,102986,103241,103294,103739,104019,104296,104591
1998,104860,105032,105170,105424,105764,105972,106039,106363,106556,106734,106971,107280
1999,107402,107746,107828,108133,108355,108578,108801,108958,109133,109485,109739,109993
2000,110210,110304,110641,110860,110739,110952,111137,111168,111395,111375,111585,111677
2001,111631,111623,111556,111227,111146,110910,110737,110549,110282,109918,109572,109365
2002,109214,109055,108990,108894,108814,108826,108731,108675,108663,108771,108757,108587
2003,108644,108487,108288,108254,108273,108234,108232,108264,108425,108568,108605,108713
2004,108883,108915,109214,109437,109747,109841,109882,109984,110136,110463,110490,110623
2005,110718,110949,111094,111440,111583,111844,112124,112311,112395,112491,112795,112935
2006,113250,113535,113793,113958,113965,114045,114203,114348,114434,114439,114628,114794
2007,115023,115080,115252,115298,115419,115480,115476,115403,115423,115484,115559,115606
2008,115647,115511,115399,115184,114968,114737,114478,114184,113759,113279,112482,111824
2009,110985,110260,109473,108671,108359,107933,107637,107418,107234,107002,106960,106840
2010,106800,106773,106914,107107,107191,107283,107375,107503,107618,107814,107948,108088
2011,108207,108464,108725,108989,109097,109199,109374,109426,109642,109781,109959,110193
2012,110470,110724,110871,110956,111072,111135,111298,111432,111560,111744,,
